title,rating,release year,user rating score
White Chicks,PG-13,2004,82
Grey's Anatomy,TV-14,2016,98
Prison Break,TV-14,2008,98
How I Met Your Mother,TV-PG,2014,94
Supernatural,TV-14,2016,95
Breaking Bad,TV-MA,2013,97
The Vampire Diaries,TV-14,2017,91
The Walking Dead,TV-MA,2015,98
Pretty Little Liars,TV-14,2016,96
Once Upon a Time,TV-PG,2016,98
Sherlock,TV-14,2016,95
Death Note,TV-14,2006,77
Naruto,TV-PG,2008,88
Arrow,TV-14,2015,96
Black Mirror,TV-MA,2016,80
The Originals,TV-14,2016,74
Masha and the Bear,TV-Y,2013,81
Marvel's Luke Cage,TV-MA,2016,95
Narcos,TV-MA,2016,94
The Flash,TV-PG,2016,98
The Do-Over,TV-MA,2016,84
Trollhunters,TV-Y7-FV,2016,83
Santa Clarita Diet,TV-MA,2017,82
13 Reasons Why,TV-MA,2017,99
The Office (U.S.),TV-14,2012,97
90210,TV-14,2013,62
Gossip Girl,TV-14,2012,96
Parks and Recreation,TV-14,2015,94
Glee,TV-PG,2015,92
Family Guy,TV-MA,2015,98
Criminal Minds,TV-14,2016,98
Friends,TV-14,2003,98
The Secret Life of the American Teenager,TV-14,2013,81
One Tree Hill,TV-14,2011,90
Shameless (U.S.),TV-MA,2016,97
New Girl,TV-14,2016,91
American Horror Story,TV-MA,2016,90
Orange Is the New Black,TV-MA,2016,98
Bates Motel,TV-14,2016,83
Grace and Frankie,TV-MA,2017,90
How to Get Away with Murder,TV-14,2016,95
The Get Down,TV-MA,2017,80
Stranger Things,TV-14,2016,90
Zootopia,PG,2016,97
Meet the Blacks,R,2016,79
Finding Dory,PG,2016,98
Sausage Party,R,2016,91
Pete's Dragon,PG,2016,93
Kevin Hart: What Now?,R,2016,97
Chewing Gum,TV-MA,2017,93
30 Rock,TV-14,2012,66
Mad Men,TV-14,2014,75
It's Always Sunny in Philadelphia,TV-MA,2016,91
Californication,TV-MA,2014,63
Portlandia,TV-14,2016,62
The Client List,TV-14,2013,92
Better Call Saul,TV-MA,2016,95
Schitt's Creek,TV-14,2016,74
The Great British Baking Show,TV-PG,2016,94
Life in Pieces,TV-14,2015,68
Dave Chappelle,TV-MA,2017,94
The Cleveland Show,TV-14,2012,88
Absolutely Fabulous,TV-14,2012,59
Raising Hope,TV-14,2013,73
Brickleberry,TV-MA,2014,63
Bordertown,TV-14,2016,86
Jane The Virgin,TV-14,2016,91
Dope,R,2015,79
The Carmichael Show,TV-14,2016,69
Haters Back Off,TV-14,2016,58
Kubo and the Two Strings,PG,2016,96
Little Boxes,TV-14,2016,61
Greenleaf,TV-14,2016,62
Nurse Jackie,TV-MA,2015,82
Gilmore Girls,TV-14,2006,91
Parenthood,TV-14,2014,79
Life Unexpected,TV-PG,2010,55
Being Human (U.S.),TV-14,2014,58
Baby Daddy,TV-14,2016,80
Sense8,TV-MA,2017,81
Girlfriends' Guide to Divorce,TV-14,2015,63
The Great Gilly Hopkins,PG,2016,69
The Magicians,TV-MA,2016,89
The Matchbreaker,PG,2016,79
The Waterboy,PG-13,1998,82
10 Things I Hate About You,PG-13,1999,68
Grease,PG,1978,86
How to Lose a Guy in 10 Days,PG-13,2003,56
The Benchwarmers,PG-13,2006,77
Step Up,PG-13,2006,64
High School Musical 2,TV-G,2007,58
Twilight,PG-13,2008,89
Coraline,PG,2009,95
Hannah Montana: The Movie,G,2009,56
Friday Night Lights,TV-PG,2010,81
That '70s Show,TV-14,2005,89
Heartland,TV-PG,2015,85
Switched at Birth,TV-14,2015,83
Hart of Dixie,TV-PG,2014,81
Safe Haven,PG-13,2013,62
The Night Shift,TV-14,2015,93
Reign,TV-14,2015,79
Fuller House,TV-G,2016,90
Gilmore Girls: A Year in the Life,TV-14,2016,77
Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-14,2016,84
Blow,R,2001,78
High School Musical,TV-G,2006,64
Bones,TV-14,2016,97
Law & Order: Special Victims Unit,TV-14,2015,97
NCIS,TV-14,2016,97
Army Wives,TV-14,2013,61
Private Practice,TV-14,2012,88
Revenge,TV-PG,2015,84
Scandal,TV-14,2016,92
Magic Mike,R,2012,77
Trouble with the Curve,PG-13,2012,63
Home,PG,2015,94
Skin Wars,TV-14,2016,69
Lost,TV-14,2010,98
Weeds,TV-MA,2012,85
Lie to Me,TV-14,2010,89
Charmed,TV-PG,2005,90
White Collar,TV-PG,2014,93
House of Cards,TV-MA,2016,91
The Killing,TV-14,2014,73
The Blacklist,TV-14,2016,96
The Fosters,TV-14,2016,73
Bitten,TV-MA,2016,56
London Has Fallen,R,2016,96
Marvel's Jessica Jones,TV-MA,2015,83
The Crown,TV-MA,2016,84
Quantico,TV-14,2016,88
Dexter,TV-MA,2013,95
Leverage,TV-PG,2012,86
Burn Notice,TV-14,2013,85
Luther,TV-14,2015,69
Hawaii Five-0,TV-14,2016,96
Last Man Standing,TV-PG,2015,97
Person of Interest,TV-14,2016,93
Touch,TV-14,2012,68
Breakout Kings,TV-14,2012,88
Longmire,TV-14,2016,92
The Fall,TV-MA,2016,61
Death in Paradise,TV-14,2016,77
Marvel's Agents of S.H.I.E.L.D.,TV-PG,2016,89
Crossing Lines,TV-14,2015,66
Gotham,TV-14,2016,85
Rosewood,TV-14,2015,81
Limitless,TV-14,2016,84
Travelers,TV-MA,2016,86
The Doctor Blake Mysteries,TV-MA,2016,57
The West Wing,TV-14,2005,79
Blue Bloods,TV-14,2016,95
Forensic Files,TV-14,2011,88
Madam Secretary,TV-14,2016,70
American Crime Story: The People v. O.J. Simpson,TV-MA,2016,79
The Nightmare Before Christmas,PG,1993,84
Scooby-Doo,PG,2002,86
Chicken Little,G,2005,92
Star Wars: The Clone Wars,PG,2008,57
Cars Toons: Mater's Tall Tales,TV-G,2010,74
Phineas and Ferb,TV-G,2012,89
The Batman,TV-Y7,2007,77
Justice League,TV-Y7-FV,2003,66
Mighty Morphin Power Rangers,TV-Y7-FV,2010,73
Young Justice,TV-PG,2012,71
All Hail King Julien,TV-Y7-FV,2016,71
The Jungle Book,PG,2016,97
The Angry Birds Movie,PG,2016,92
Talking Tom and Friends,TV-G,2016,61
An Extremely Goofy Movie,G,1999,67
The Iron Giant,PG,1999,83
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,2015,67
Goosebumps,TV-Y7,1998,88
PokÌ©mon: Indigo League,TV-Y,2000,74
Ratchet and Clank,PG,2016,74
The Adventures of Puss in Boots,TV-Y7-FV,2016,78
PokÌ©mon: XY,TV-Y7-FV,2015,56
The Little Rascals,PG,1994,86
Flubber,PG,1997,83
Tarzan,G,1999,95
The Emperor's New Groove,G,2000,95
Lilo & Stitch,PG,2002,95
Scooby-Doo 2: Monsters Unleashed,PG,2004,82
The Pacifier,PG,2005,91
Bee Movie,PG,2007,94
Kung Fu Panda,PG,2008,91
Super Why!,TV-Y,2015,68
Jessie,TV-G,2015,88
Lab Rats,TV-Y7,2016,85
Pocoyo,TV-Y,2007,67
Dragons: Race to the Edge,TV-Y7-FV,2017,88
Little Einsteins,TV-Y,2007,70
Hotel Transylvania 2,PG,2015,93
Dawn of the Croods,TV-Y7,2017,72
Kung Fu Panda 3,PG,2016,92
Open Season: Scared Silly,PG,2015,72
Alice Through the Looking Glass,PG,2016,96
Goldie & Bear,TV-Y,2016,77
Antz,PG,1998,80
Chicken Run,G,2000,80
Spy Kids 3: Game Over,PG,2003,64
Annie,PG,1982,68
Mulan 2,G,2004,85
Lilo & Stitch 2: Stitch Has A Glitch,PG,2005,85
DreamWorks Shrek's Swamp Stories,TV-PG,2008,56
The Magic School Bus,TV-Y,1997,81
Sofia the First,TV-Y,2015,82
Barbie Life in the Dreamhouse,TV-G,2012,85
Paddington,PG,2014,70
Minions,PG,2015,96
The Little Prince,PG,2015,71
Cool Runnings,PG,1993,81
Homeward Bound: The Incredible Journey,G,1993,96
Anastasia,G,1997,93
Missione Hamburger,PG,1997,75
Curious George,G,2006,55
Secret of the Wings,G,2012,65
Walt Disney Animation Studios Short Films Collection,TV-G,2015,84
Bunk'd,TV-G,2016,61
The BFG,PG,2016,97
The Real Ghostbusters,TV-Y7,1990,65
The Prince of Egypt,PG,1998,81
The Road to El Dorado,PG,2000,91
Pocahontas II: Journey to a New World,TV-G,1998,64
Fantasia,G,1940,61
An American Tail,G,1986,67
Balto,G,1995,64
Brother Bear 2,G,2006,57
Animaniacs,TV-Y7,1997,72
The Pirate Fairy,G,2014,57
FernGully: The Last Rainforest,G,1992,70
Harry and the Hendersons,PG,1987,58
Atlantis: The Lost Empire,PG,2001,96
Atlantis: Milo's Return,G,2003,79
Corpse Bride,PG,2005,91
Baby's Day Out,PG,1994,71
Blank Check,PG,1994,93
Heavyweights,PG,1995,74
D2: The Mighty Ducks,PG,1994,70
Honey I Shrunk the Kids,PG,1989,80
H2O: Just Add Water,TV-PG,2009,74